Timestamp,Cor,Horario,Resultado
2026-05-27 18:06:16,AZUL,18:05,LOSS
2026-05-27 18:07:16,AZUL,18:06,LOSS
2026-05-27 18:11:16,AZUL,18:10,LOSS
2026-05-27 18:19:16,VERMELHO,18:18,LOSS
2026-05-27 18:24:16,VERMELHO,18:23,WIN
2026-05-27 18:25:16,AZUL,18:24,WIN
2026-05-27 18:26:16,AZUL,18:25,LOSS
2026-05-27 18:35:16,AZUL,18:34,LOSS
2026-05-27 18:37:16,AZUL,18:36,LOSS
2026-05-27 18:44:16,VERMELHO,18:43,WIN
2026-05-27 18:45:17,VERMELHO,18:44,LOSS
2026-05-27 18:46:17,VERMELHO,18:45,WIN
2026-05-27 18:47:16,VERMELHO,18:46,LOSS
2026-05-27 18:49:16,VERMELHO,18:48,LOSS
2026-05-27 18:54:16,VERMELHO,18:53,LOSS
